question_id,question,difficulty,original_answer,original_time_seconds,original_success,expansion_answer,expansion_time_seconds,expansion_success,timestamp,llm_original_score,llm_expansion_score,llm_original_rationale,llm_expansion_rationale
1,What is TCS's revenue for FY 2025?,Easy,"Based only on the information provided above, **TCS's revenue for FY 2025 is ₹255,324 crore**.",2.1,True,"Based on the information provided in the excerpts from the TCS Annual Report, TCS's consolidated revenue for FY 2025 is **₹255,324 crore**.",6.0,True,2025-09-27 21:37:59,1,1,"The original answer states that TCS's revenue for FY 2025 is ₹255,324 crore. This is fully supported by multiple excerpts from the provided TCS Annual Report context, which clearly mention that the revenue from operations (or consolidated revenue) for FY 2025 was ₹255,324 crore. For instance, the text states: ""on a consolidated basis, the revenue from operations for fy 2025 was ` 2, 55, 324 crore, higher by 6. 0 % over the previous year..."" and several other chunks confirm this number. Therefore, the answer is factually correct and well-supported.","The expanded answer also correctly identifies TCS's consolidated revenue for FY 2025 as ₹255,324 crore and explicitly ties it to the annual report excerpts. The expansion correctly specifies ""consolidated revenue"" and uses the direct figure found in the context, maintaining accuracy and support from the text provided. Both answers are equivalent in correctness based on the context chunks shared."
2,How many employees does TCS have?,Easy,"Based on the information provided from the TCS Annual Report excerpts, **TCS has a total of 636,833 employees** as at the end of the financial year.

This total is composed of:

- Permanent employees: 607,979  
- Other than permanent employees: 28,854  
- Total employees: 636,833  

This figure represents all categories of employees, as stated in the excerpt.",3.9,True,"Based on the information provided from the TCS Annual Report excerpts, Tata Consultancy Services (TCS) has a highly skilled workforce of **over 607,000 associates** in 55 countries. More specifically, the report states that **607,979 associates** represent 152 nationalities globally.

**Therefore, TCS has 607,979 employees.**",5.1,True,2025-09-27 21:38:08,1,0,"The answer correctly states that TCS has a total of 636,833 employees as at the end of the financial year, explicitly supported by the excerpt: ""total employees ( d + e ) 6, 36, 833"". It also accurately breaks down this figure into permanent (607,979) and other than permanent (28,854) employees, which matches the figures in the provided context.","The answer incorrectly states that TCS has 607,979 employees, matching only the number of permanent employees while ignoring the ""other than permanent"" category (28,854). The provided context clearly lists the total as 636,833 employees, so the answer underreports the actual total workforce as specified in the Annual Report excerpts."
3,What is TCS's profit for FY 2024?,Easy,"Based **only on the information provided in the excerpts**, the **profit after tax attributable to shareholders of the company for FY 2024** (as per your context) is:

**₹46,585 crore**

This information is stated as:
> profit after tax attributable to shareholders of the company 48,553 19.0 4.2 46,585 19.3

Where, in the table, the first value (₹48,553 crore) refers to FY 2025, and the second value (₹46,585 crore) refers to FY 2024.",3.1,True,"Based on the provided excerpts from the TCS Annual Report, the **profit for TCS (Tata Consultancy Services) for FY 2024** is not directly stated in the text you've shared.

The excerpts include the following details for FY 2024 (consolidated):

- **Revenue from operations:** ₹2,40,893 crore
- **Other income:** ₹4,422 crore
- **Total income:** ₹2,45,315 crore

However, the full expenses data and the actual profit after all expenses (net profit or profit after tax) for FY 2024 are **not fully visible** in the provided context. There is mention of ""total expenses"" but the relevant figures for consolidated FY24 are not present in the excerpt.

**Conclusion:**  
The context provided does **not contain the exact profit figure for FY 2024** for TCS. More data (specifically the net profit or profit after tax line from the financial statements) would be needed to answer this question accurately.",8.0,True,2025-09-27 21:38:19,0,0,"The answer ""₹46,585 crore"" as profit after tax attributable to shareholders of the company for FY 2024 is not fully supported by the context. The provided excerpts show two slightly different figures for FY 2024 profit: ₹46,585 crore (from a table in one chunk) and ₹45,908 crore (from the paragraph stating 'the profit for the year attributable to shareholders of `45,908 crore in fy 2024'). The latter phrasing most closely matches the specific request (""profit for TCS for FY 2024""), and the actual textual summary clarifies this is the preferred number. Therefore, citing only ₹46,585 crore without acknowledging this difference reduces the answer’s factual reliability for the exact question asked.","The answer claims the profit for FY 2024 is not given in the provided context and that more data would be needed. However, the relevant excerpt directly states: ""the profit for the year attributable to shareholders of `45,908 crore in fy 2024,"" making it available in the provided text. Therefore, the answer is factually incorrect as it overlooks clearly presented information."
4,In which countries does TCS operate?,Easy,"Based only on the information provided above, TCS operates in the following countries:

1. China
2. Thailand
3. Philippines
4. Japan
5. South Africa
6. Qatar
7. Germany
8. Austria
9. Netherlands
10. Singapore
11. Malaysia
12. Australia
13. Indonesia

These countries are explicitly mentioned in the context provided from the TCS Annual Report.",3.8,True,"Based only on the provided excerpts from the TCS Annual Report, TCS operates in the following countries:

1. China (including Beijing)
2. Thailand
3. Philippines
4. Japan
5. South Africa
6. Qatar
7. Germany (Deutschland)
8. Italy (Italia)
9. Netherlands
10. Sweden (Sverige)
11. Portugal
12. Luxembourg
13. Switzerland
14. France
15. Saudi Arabia
16. United Kingdom (UK)
17. Bulgaria
18. Ireland
19. Austria (Osterreich)
20. Malaysia
21. Australia
22. Indonesia

This list is drawn directly from the company and subsidiary names mentioned in the context. The report also mentions TCS having operations in 55 countries and service delivery centers around the world, but only the countries listed above are specifically named in the provided excerpt.",6.0,True,2025-09-27 21:38:29,0,1,"The original answer lists only 13 countries (China, Thailand, Philippines, Japan, South Africa, Qatar, Germany, Austria, Netherlands, Singapore, Malaysia, Australia, Indonesia). However, the provided context specifically names additional countries in the excerpts, such as Italy, Sweden, Portugal, Luxembourg, Switzerland, France, Saudi Arabia, UK, Bulgaria, and Ireland. Because the original answer fails to include several countries that are clearly mentioned in the provided context, it is incomplete and therefore not fully factually correct or well-supported.","The expansion answer provides a significantly longer list of countries, all of which can be directly linked to the provided context via subsidiary listings or mentions. The answer also correctly states that TCS operates in 54–55 countries based on the report, but conservatively lists only those named explicitly in the excerpts. Although some map and listing context gives a much larger footprint, the answer maintains fidelity to the supplied context and only includes those verified by excerpt evidence, making it factually correct and well-supported."
5,What is TCS's dividend per share?,Easy,"Based only on the information provided from the TCS Annual Report excerpts, **TCS's dividend per share for FY 2025 is ₹126**. 

This total is made up of:
- Three interim dividends of ₹10 each (₹30 total)
- A special dividend of ₹66
- A recommended final dividend of ₹30 (pending shareholders' approval at the AGM)

**Total dividend per share for FY 2025: ₹10 + ₹10 + ₹10 + ₹66 + ₹30 = ₹126**",3.0,True,"Based only on the information provided in the excerpts from the TCS Annual Report, **TCS's dividend per share for FY 2025 is ₹126**.

This total is comprised of:
- Three interim dividends of ₹10 each
- A special dividend of ₹66
- A recommended final dividend of ₹30 (pending shareholder approval)

**Total dividend per share = ₹10 + ₹10 + ₹10 + ₹66 + ₹30 = ₹126 per share** for FY 2025.",5.2,True,2025-09-27 21:38:37,1,1,"The answer correctly states that TCS's dividend per share for FY 2025 is ₹126, and it provides a breakdown that matches the information found in the supplied excerpts. Multiple sources within the context specify three interim dividends of ₹10 each, a special dividend of ₹66, and a final proposed dividend of ₹30, totaling ₹126 per share for FY 2025. The answer accurately reflects and is fully supported by these excerpts.","The expanded answer also correctly identifies the total dividend per share for FY 2025 as ₹126 and lists the same breakdown (three ₹10 interim dividends, one ₹66 special dividend, one ₹30 final dividend). This information is explicitly confirmed in the provided context, showing the answer is factually correct and well-supported by the evidence from the report."
6,How has TCS's revenue grown over the past 3 years?,Medium,"Based on the provided excerpts from the TCS Annual Report, here is how TCS’s revenue has grown over the past three years:

- **FY 2025:** TCS achieved a year-over-year revenue growth of **6.0%** (4.2% in constant currency).
- **FY 2024:** The revenue growth for FY 2024 is not explicitly stated in the provided excerpts.
- **Past Five Years:** Over the past five financial years, TCS recorded a **compound annual growth rate (CAGR) of 10.2%**.
- **Segment Example:** For the ""Banking, Financial Services and Insurance"" segment, revenue grew from ₹90,928 crore in FY 2024 to ₹94,597 crore in FY 2025, a growth of 4.0%.

**Conclusion:**  
TCS has shown consistent revenue growth, with a CAGR of 10.2% over five years and 6.0% revenue growth in FY 2025. However, the explicit year-on-year revenue growth percentage for FY 2024 (relative to FY 2023) is **not provided in the context above**, so the exact annual growth rates for all of the past three years cannot be fully detailed based only on the provided information.",3.6,True,"Based on the information provided from the TCS Annual Report:

**TCS's annual revenue (₹ crore) over the past 3 financial years:**
- **FY 2023:** ₹225,458 crore
- **FY 2024:** ₹240,893 crore
- **FY 2025:** ₹255,324 crore

**Revenue Growth Rates:**
- **FY 2024 vs FY 2023:**  
  Revenue grew from ₹225,458 crore to ₹240,893 crore, representing a growth of **6.8%**.
- **FY 2025 vs FY 2024:**  
  Revenue grew from ₹240,893 crore to ₹255,324 crore, representing a growth of **6.0%**.

Therefore, **TCS's revenue has grown steadily over the past 3 years**:
- FY 2023: ₹225,458 crore
- FY 2024: ₹240,893 crore (**+6.8% YoY**)
- FY 2025: ₹255,324 crore (**+6.0% YoY**)

The growth rate slightly moderated in the most recent year, but overall, TCS has demonstrated consistent revenue growth.",7.7,True,2025-09-27 21:38:49,0,1,"The original answer correctly identifies the FY 2025 revenue growth (6.0%) and acknowledges the lack of an explicit growth number for FY 2024 in the provided excerpts. However, it omits the actual revenue figures and the precise FY 2024 growth rate (6.8%), which are present in the provided context (""tcs’ revenue grew 6.0% in fy 2025, compared to 6.8% in the previous year""). Thus, the original answer is incomplete and less precise than what the context would support.","The expansion answer provides the exact revenue amounts for all three years (FY 2023, FY 2024, FY 2025) and the corresponding year-on-year growth rates (6.8% for FY 2024 vs FY 2023; 6.0% for FY 2025 vs FY 2024). Both the growth percentages and the revenue numbers are directly supported by the provided context. Therefore, this answer is factually correct, complete, and well-supported by the context."
7,What are TCS's main business segments and their performance?,Medium,"Based on the provided excerpts from the TCS Annual Report:

**Main Business Segments:**  
TCS organizes its business primarily by industry verticals, which are its main business segments. The five key vertical clusters are:
1. **Banking, Financial Services and Insurance (BFSI)**
2. **Communication, Media and Technology (CMT)**
3. **Consumer Business**
4. **Life Sciences and Healthcare**
5. **Manufacturing**
6. **Others** (such as Energy, Resources and Utilities, Public Services and Products)

**Segment Performance (FY2025 figures where available):**

- **Banking, Financial Services and Insurance (BFSI)**
  - Revenue: ₹94,597 crore (37.0% of total revenues)
  - Year-over-Year (YoY) Revenue Growth: 4.0%
  - Segment Margin: 26.6%

- **Communication, Media and Technology (CMT)**
  - Revenue: ₹45,893 crore (18.0% of total revenues)
  - YoY Revenue Growth: 16.5%
  - Segment Margin: 20.9%

- **Consumer Business**
  - Revenue Share: 15.7% (exact revenue and margin figures not provided in the excerpt)

- **Life Sciences and Healthcare**
  - Revenue Share: 10.4% (exact revenue and margin figures not provided in the excerpt)

- **Manufacturing**
  - Revenue Share: 9.9% (exact revenue and margin figures not provided in the excerpt)

- **Others**
  - Revenue Share: 9.0% (exact revenue and margin figures not provided in the excerpt)

**Summary:**  
- The **BFSI** segment is the largest contributor to revenue (37.0%), with steady growth and strong margins.
- **CMT** is the second-largest segment by revenue (18.0%) and saw the fastest growth (16.5% YoY).
- Other segments individually contribute between roughly 9% and 16% of total revenues.

If you need more granular data (such as margins or specific growth rates for segments besides BFSI and CMT), the current excerpt does not provide these details. Otherwise, the major business segments and their relative performance by revenue share, growth, and margins are as summarized above.",6.0,True,"Based only on the provided excerpts from the TCS Annual Report, here is the answer:

**TCS's Main Business Segments (“Industry Verticals”):**
- **Banking, Financial Services and Insurance (BFSI):** 37.0% of revenue
- **Communication, Media and Technology:** 18.0% of revenue
- **Consumer Business:** 15.7% of revenue
- **Life Sciences and Healthcare:** 10.4% of revenue
- **Manufacturing:** 9.9% of revenue
- **Others:** 9.0% of revenue

**Performance of Main Segments (FY2025):**
- **Banking, Financial Services and Insurance (BFSI):**
  - Revenue: ₹94,597 crore (FY2025) vs ₹90,928 crore (FY2024)
  - YoY Revenue Growth: 4.0%
  - Segment Margin: 26.6% (FY2025) vs 25.9% (FY2024)

- **Communication, Media and Technology:**
  - Revenue: ₹45,893 crore (FY2025) vs ₹39,391 crore (FY2024)
  - YoY Revenue Growth: 16.5%
  - Segment Margin: 20.9% (FY2025) vs 27.7% (FY2024) 

**Summary:**  
TCS segments its business primarily by industry verticals, with BFSI being the largest contributor by revenue, followed by Communication, Media and Technology, and others. BFSI showed moderate growth (4.0% YoY) with strong margins, while Communication, Media and Technology experienced significant growth (16.5% YoY) but with a decline in segment margin compared to the previous year. Performance for other segments is not detailed in the context provided.",13.9,True,2025-09-27 21:39:09,1,1,"The answer is factually correct and well-supported by the provided context. It correctly identifies TCS’s main business segments as organized by industry vertical, listing BFSI, CMT, Consumer Business, Life Sciences and Healthcare, Manufacturing, and Others (context chunks 1 and 2). The answer provides accurate performance figures for BFSI (₹94,597 crore, 37% of revenue, 4.0% YoY growth, 26.6% margin) and CMT (₹45,893 crore, 18%, 16.5% growth, 20.9% margin), which are matched exactly to the provided data (chunk 2). It further notes that revenue percentages for other segments are given but that detailed margin/growth data is not available for those segments, which is consistent with the context. The summary accurately reflects the performance and segment breakdown as seen in the relevant excerpts.","This answer also correctly identifies the main business segments based on industry verticals, with the correct revenue shares for each as per the given context (chunk 2). It provides detailed performance for both BFSI and CMT, citing both FY2025 and FY2024 revenues, YoY growth, and segment margins as provided in the context. It accurately summarizes the breakdown and notes the lack of detailed performance data for the other segments. All claims are substantiated by the provided excerpts, ensuring accuracy and completeness."
8,What digital transformation services does TCS offer to clients?,Medium,"Based on the provided excerpts from the TCS Annual Report, **TCS offers the following digital transformation services to its clients**:

1. **Large-scale digital transformation projects:** TCS delivers system integration and transformational programs of national importance, such as projects for BSNL, Passport Seva, and the Election Commission in India.

2. **AI adoption and digital core modernization:** TCS assists enterprises in accelerating the adoption of artificial intelligence into their digital core to address technical debt and modernize legacy systems.

3. **Cloud migration and infrastructure modernization:** TCS supports clients in migrating to the cloud, updating infrastructure frameworks, and developing strong data foundations.

4. **Low-code/no-code solutions:** TCS provides services using low-code and no-code platforms, delivering significant productivity gains for clients.

5. **Data privacy and quality processing:** TCS processes large volumes of data to ensure privacy and quality control.

6. **Cybersecurity consulting:** TCS offers security consulting services to help enterprises strengthen their cybersecurity management processes.

7. **Tailored solutions for growth markets:** TCS develops agile, cost-effective digital solutions customized for first-time digital adopters in rapidly growing markets.

8. **Enhanced user experiences and cutting-edge technologies:** Through partnerships, especially within the Tata group, TCS leverages niche skills and resources to deliver improved user experiences and implement advanced technologies.

**Note:** These points are strictly based on the excerpts provided. If further details are needed on specific offerings or technologies, additional context from the report would be required.",4.8,True,"Based on the provided excerpts from the TCS Annual Report, the digital transformation services that TCS offers to clients include:

1. **Hybrid Multi-Cloud Services:** Investment in training, certifications, and building solutions and intellectual property around hybrid and multi-cloud environments.

2. **AI and GenAI Services:** Investment in generative AI (GenAI) playgrounds to enable AI literacy and deep skilling, and solutions that leverage advanced AI capabilities.

3. **Data Transformation Programs:** Strengthening teams in streaming data, observability, MLOps, and compliance tooling to support large enterprise data transformation initiatives.

4. **Products and Platforms:** Offering flagship digital transformation platforms such as:
   - **ignio™**
   - **TCS BaNCS™**
   - **TCS iON™**  
   These solutions use AI, cloud, and analytics to enhance agility, efficiency, and customer experience across industries.

5. **Cloud Migration and Modernization:** Supporting enterprises in addressing technical debt, modernizing legacy systems, cloud migration, updating infrastructure frameworks, and building strong data foundations.

6. **Cybersecurity Services:** Providing security consulting services and helping enterprises strengthen their cybersecurity management processes.

7. **Self-Service Analytics:** Delivering customized no-code data platforms to enable easy and accessible analytics for non-technical users across various business functions.

8. **AI-Equipped Data Platforms:** Transforming operations (e.g., airline operations, logistics, and supply chain) with unified data platforms integrated with AI capabilities.

**Summary:**  
TCS offers end-to-end digital transformation services covering cloud, AI, data transformation, cybersecurity, self-service analytics, and vertical-specific digital platforms to help clients modernize, enhance efficiency, and build future-ready enterprises.",14.2,True,2025-09-27 21:39:28,1,1,"The original answer accurately captures and summarizes the digital transformation services TCS provides, as described in the provided context. It references large-scale transformation projects, AI and digital modernization, cloud migration, low-code/no-code solutions, data privacy and quality, cybersecurity, tailored solutions for growth markets, and enhanced user experiences through advanced technologies. Each of these points is substantiated by the corresponding chunks from the annual report excerpts, making the answer both factually correct and well-supported.","The expanded answer is also accurate and well-supported by the context. It details TCS's offerings around hybrid multi-cloud, AI (including generative AI), data transformation (streaming data, MLOps, etc.), flagship digital transformation platforms (ignio™, TCS BaNCS™, TCS iON™), cloud migration, cybersecurity, self-service analytics, and AI-equipped data platforms. Each service mentioned aligns with the information provided in the excerpts, and the additional detail about TCS investments and platform names adds depth without diverging from the facts in the context."
9,What are the key risks TCS faces in its business operations?,Medium,"Based on the provided excerpts from the TCS Annual Report, the key risks TCS faces in its business operations include:

1. **Shortage of Skilled Personnel:** Difficulty in attracting and retaining qualified employees.
2. **International Operations Management:** Challenges in managing business across multiple geographies.
3. **Reduced Demand for Technology:** Lower demand in TCS’s key technology focus areas.
4. **Disruptions in Telecommunication Networks:** Potential interruptions affecting service delivery.
5. **Acquisition Risks:** Challenges in successfully completing and integrating acquisitions.
6. **Liability on Service Contracts:** Risks of damages arising from contractual obligations.
7. **Performance of Strategic Investments:** The success of companies in which TCS has invested.
8. **Withdrawal of Governmental Fiscal Incentives:** Loss of government-provided benefits or incentives.
9. **Political Instability:** Unstable political environments impacting operations.
10. **Legal Restrictions:** Barriers to raising capital or acquiring companies outside India.
11. **Intellectual Property Risks:** Unauthorized use of TCS’s intellectual property.
12. **Cyber Attacks or Security Breaches:** Threats to the company’s information and systems.
13. **Pandemics and Natural Disasters:** Disruptions caused by health crises or natural events.
14. **General Economic Conditions:** Broader economic factors impacting the IT industry.

TCS addresses these risks through a robust risk management framework, regular reviews, scenario planning, and engagement with stakeholders to ensure transparency and resilience.

If you need more detail or focus on a specific risk category, please specify.",4.7,True,"Based on the provided excerpts from the TCS Annual Report, the key risks TCS faces in its business operations include:

1. **Managing Growth:** The company faces challenges in effectively managing its growing operations.

2. **Intense Competition:** There is strong competition among global IT services companies, which can impact TCS’s market position and profitability.

3. **Profitability Factors:** Various factors such as wage increases and an appreciating rupee can affect TCS’s profitability.

4. **Attracting and Retaining Talent:** TCS depends on its ability to attract and retain highly skilled professionals, especially given the short supply of emerging technical skills.

5. **Fixed-Price, Fixed-Time Contracts:** Risks exist related to time and cost overruns in these types of contracts.

6. **Client Concentration:** Relying heavily on a few clients could be a risk if there are changes in their business outlook or spending.

7. **Cross-Border Restrictions:** Immigration or regulatory restrictions on the cross-border movement of staff can impact service delivery.

8. **Geo-Political and Macroeconomic Volatility:** Events such as wars, adverse trade policies, and high inflation in major economies can affect client spending, create demand uncertainty, and increase the company’s costs.

9. **Risks in Service Delivery and Business Continuity:** Geo-political risks can threaten service delivery, business continuity, cybersecurity, sanctions compliance, and human rights, particularly in sensitive zones.

In summary, TCS’s key business risks are related to competition, talent management, client and contract risks, macroeconomic and geopolitical factors, and operational challenges in global service delivery.",22.7,True,2025-09-27 21:39:55,1,1,"The answer thoroughly lists key risks faced by TCS, including shortage of skilled personnel, international operations, reduced technology demand, telecom disruptions, acquisition risks, contract liabilities, performance of investments, loss of fiscal incentives, political instability, legal restrictions, IP risks, cyber attacks, pandemics, natural disasters, and general economic conditions. Each of these risks is explicitly supported by the provided context (especially the second and fourth chunks), and the answer accurately reflects the company’s risk management approach as described. There are no major omissions or unsupported items.","The answer addresses key business risks faced by TCS, such as managing growth, intense competition, factors affecting profitability (e.g., wage increases, currency appreciation), attracting and retaining talent, contract risks, client concentration, cross-border restrictions, and geopolitical/macroeconomic volatility. Each point finds clear support in the provided context (especially in the fourth chunk: “ability to manage growth, intense competition... ability to attract and retain highly skilled professionals... time and cost overruns... client concentration, restrictions on cross-border movement”). The summary is accurate and well-supported by the referenced content."
10,How does TCS invest in employee development and training?,Medium,"Based only on the information provided above, TCS invests in employee development and training through the following ways:

- **Fostering Lifelong Learning:** TCS promotes passion, lifelong learning, and collaboration among employees, emphasizing the value of continuous skill development and knowledge sharing.
- **Recognizing and Rewarding Talent:** The company drives a high-performance culture by recognizing and rewarding potential talent, as seen in the over 110,000 promotions in FY 2025.
- **Inclusive and Equitable Opportunities:** TCS aims to create inclusive, equitable, and sustainable opportunities for all employees, including youth, women, and marginalized communities.
- **Stimulating Work Environment:** The company empowers employees through a stimulating and rewarding work environment designed to enhance employee experience and drive business growth.
- **Leadership in Learning and Sharing:** Core values such as learning and sharing are highlighted as binding principles for the global workforce.
- **Innovation and Collaboration:** TCS’s global innovation network, including 11 Pace Ports and studios, facilitates collaborative learning and engagement on cutting-edge technologies and solutions.

The report mentions a focus on ""talent development,"" ""employee engagement,"" and continuous recognition for HR practices, which further indicates ongoing investment in employee training and development programs.

If you need more detailed information on specific training programs or metrics, the context provided does not include those specifics.",5.5,True,"Based only on the provided excerpts from the TCS Annual Report, here’s how TCS invests in employee development and training:

- **Transformative Learning Initiatives:** In FY 2025, TCS launched several major initiatives to revolutionize employee learning, including embracing AI/GenAI-first methodologies and building competencies in disruptive technologies.
- **Significant Investment in AI and Experimentation:** Associates were empowered to experiment with AI, driving value for customers.
- **High Volume of Learning Activities:** On average, each employee received 96.4 learning hours. Over 5.2 million total learning hours were recorded.
- **Skill Acquisition and Certifications:** Employees acquired over 100,000 external certifications and higher-order skills in AI/ML and GenAI (AI/ML = Artificial Intelligence/Machine Learning, GenAI = Generative AI). More than 100,000 competencies were acquired, with recognition across major platforms such as AWS, Google Cloud, Microsoft, and GitHub.
- **Career-Linked Learning:** 402,000+ employees pursued learning tied to career development.
- **Innovative Learning Tools:** TCS developed AI-powered tools including interview coaches, coding tutors, simulators, content creators, and AI communications coaches to improve training effectiveness.
- **Specialized Programs:** Launched new programs to build expertise in areas like large program management, consulting, sales, and GenAI.
- **Lifelong Learning Culture:** Employees are encouraged to take charge of their ongoing learning and career growth.
- **Internal Development:** TCS increased its use of internal talent pools by reskilling and ensuring trainees are ready-to-deploy, as well as offering internal internships and skill grids for critical areas.
- **Recognition and Rewards:** Employees are recognized and promoted based on their learning and development, with over 110,000 promotions in FY 2025.

**Summary:**  
TCS invests heavily in employee development through innovative, AI-driven learning initiatives, extensive training hours, industry certifications, career-linked upskilling, and the use of advanced digital coaching tools. They foster a continuous learning culture, support internal mobility via reskilling, and reward talent development through promotions and recognition.",14.5,True,2025-09-27 21:40:15,1,1,"The original answer is factually correct and well-supported by the provided context. It references TCS’s emphasis on lifelong learning, a high-performance culture, inclusivity, recognition/reward systems, and fostering innovation/collaboration—all of which are mentioned in the excerpts. However, it lacks detail on specific programs, metrics, or concrete examples but remains completely accurate per the evidence given.","The expansion answer is also factually correct and is even more strongly supported by the context, drawing from specific details in the excerpts. It accurately mentions innovative learning initiatives (AI/GenAI, new tools like coding tutors/interview coaches), provides quantitative data (average learning hours, certifications), and describes processes like reskilling, internal mobility, specialized upskilling programs, and the link between promotions and learning investment. All these points are explicitly detailed in the provided chunks, making this answer highly precise and fully supported by the evidence."
