Question_ID,Question_Number,Difficulty,Question,Expected_Answer,Method,Answer,Time_seconds,Score,Judge_Rationale
1,1,Easy,What was TCS's total revenue in FY 2025?,"US $30 billion or ₹255,324 crore",Basic RAG,"Based on the information provided from the TCS Annual Report excerpts, **TCS's total revenue in FY 2025 was ₹2,55,324 crore**.

This is stated directly in several parts of your context, for example:

- “the company reported an annual revenue of ₹255,324 crore in fy 2025, growing 6.0 % year - on - year ( 4.2 % in constant currency )...”
- “on a consolidated basis, the revenue from operations for fy 2025 was ` 2,55,324 crore, higher by 6.0 % over the previous year ’ s revenue from operations of ` 2,40,893 crore.”

**Final answer:**  
**₹2,55,324 crore** (Rupees two lakh fifty-five thousand three hundred twenty-four crore) was TCS's total revenue in FY 2025.",3.02,1,"The actual answer correctly states TCS's total revenue for FY 2025 as ₹2,55,324 crore, directly matching the expected answer and citing supporting evidence from the report excerpts. It is factually correct and fully addresses the question."
1,1,Easy,What was TCS's total revenue in FY 2025?,"US $30 billion or ₹255,324 crore",Query Expansion,"Based on the information provided from the TCS Annual Report excerpts, **TCS's total revenue in FY 2025 was ₹255,324 crore**. 

This is confirmed by multiple excerpts, including:

> ""in a very challenging geopolitical and macro - economic environment, the company reported an annual revenue of ₹255,324 crore in fy 2025, growing 6.0% year - on - year...""

And

> ""revenue from operations 255,324 100.0 6.0 240,893 100.0""

Therefore, **TCS's total revenue in FY 2025 was ₹255,324 crore**.",4.97,1,"The actual answer correctly identifies TCS's total revenue in FY 2025 as ₹255,324 crore, directly matching the expected answer and providing supporting excerpts from the annual report. The answer is factually correct and aligns with the expected response."
1,1,Easy,What was TCS's total revenue in FY 2025?,"US $30 billion or ₹255,324 crore",Multiple Queries,"Based on the information provided from the TCS Annual Report excerpts:

**TCS's total revenue in FY 2025 was ₹255,324 crore.**

This is supported by multiple references in the provided text:

> ...the company reported an annual revenue of ₹255,324 crore in fy 2025, growing 6.0 % year - on - year...

and

> on a consolidated basis, the revenue from operations for fy 2025 was ` 2,55,324 crore, higher by 6.0 % over the previous year’s revenue from operations of ` 2,40,893 crore.

Therefore, the clear and accurate answer is:

---

**TCS’s total revenue in FY 2025 was ₹255,324 crore.**",5.63,1,"The actual answer correctly states TCS’s total revenue in FY 2025 as ₹255,324 crore, which matches the expected answer and is supported by direct references from the TCS Annual Report. The answer is factually accurate and fully addresses the question."
2,2,Easy,How many associates does TCS have globally?,"607,979 associates",Basic RAG,"Based on the information provided from the TCS Annual Report excerpts, **TCS has 607,979 associates globally**, representing 152 nationalities.

This figure is supported by multiple mentions:
- ""the core values ... strongly bind and unify the 607,979 associates representing 152 nationalities globally.""
- Under human capital: ""607,979"" employees/nationalities.

**Therefore, TCS has 607,979 associates globally.**",1.85,1,"The actual answer matches the expected answer exactly, providing the correct number of TCS associates globally (607,979), and supports it with direct citations from the TCS Annual Report. The answer is factually correct and fully addresses the question."
2,2,Easy,How many associates does TCS have globally?,"607,979 associates",Query Expansion,"Based only on the information provided in the excerpts from the TCS Annual Report:

Tata Consultancy Services (TCS) has **607,979 associates** globally.",4.59,1,"The actual answer correctly states that Tata Consultancy Services (TCS) has 607,979 associates globally, which matches the expected answer and addresses the question directly."
2,2,Easy,How many associates does TCS have globally?,"607,979 associates",Multiple Queries,"Based on the information provided in the excerpts from the TCS Annual Report, **TCS has 607,979 associates globally**.

This number is explicitly stated multiple times in the context:  
> ""the core values of leading change, integrity, respect for individual, excellence and learning & sharing strongly bind and unify the 607,979 associates representing 152 nationalities globally.""

> ""with a highly skilled workforce of over 607,000 associates in 55 countries...""

Therefore, the clear and accurate answer is:

**TCS has 607,979 associates globally.**",6.41,1,"The answer is factually correct, explicitly states the number of associates as 607,979, and aligns perfectly with the expected answer. The supporting evidence from the TCS Annual Report is clearly cited."
3,3,Easy,What was the total dividend per share for FY 2025?,₹126 per share,Basic RAG,"**Answer:**

Based on the information provided from the TCS Annual Report excerpts, the total dividend per share for FY 2025 was **₹126 per equity share**. 

This total includes:
- Three interim dividends of ₹10 each (₹30)
- A special dividend of ₹66
- A recommended final dividend of ₹30

**Breakdown:**
- 3 interim dividends × ₹10 = ₹30
- Special dividend = ₹66
- Final dividend = ₹30   
**Total: ₹30 + ₹66 + ₹30 = ₹126 per equity share**

This matches the explicit statement in the context:  
“...the dividends for fy 2025 would amount to ` 126 per equity share, which includes payment of three interim dividends of ` 10 each, a special dividend of ` 66 per equity share, and recommended a final dividend of ` 30 per equity share.”",3.33,1,"The answer is factually correct, provides an accurate breakdown of the dividend components, matches the expected answer of ₹126 per share, and cites the supporting statement from the TCS Annual Report excerpts."
3,3,Easy,What was the total dividend per share for FY 2025?,₹126 per share,Query Expansion,"Based on the excerpts provided from the TCS Annual Report, the total dividend per share for FY 2025 is **₹126 per equity share**.

**Breakdown:**
- Three interim dividends of ₹10 each (total: ₹30)
- One special dividend of ₹66
- Final dividend of ₹30

**Calculation:**  
₹10 + ₹10 + ₹10 (interims) = ₹30  
₹66 (special)  
₹30 (final)  
**Total: ₹30 + ₹66 + ₹30 = ₹126 per equity share**

**Source from context:**
> ""...the dividends for fy 2025 would amount to ` 126 per equity share, which includes payment of three interim dividends of ` 10 each, a special dividend of ` 66 per equity share, and recommended a final dividend of ` 30 per equity share...""",6.3,1,"The actual answer is factually correct, aligns with the expected answer, provides a clear breakdown, and cites the source from the context accurately."
3,3,Easy,What was the total dividend per share for FY 2025?,₹126 per share,Multiple Queries,"**Answer:**

Based on the information provided above, the **total dividend per share for FY 2025** for TCS was **₹126 per equity share**.

**Breakdown from the context:**
- Three interim dividends of **₹10** each = ₹30
- A special dividend of **₹66**
- A final dividend (recommended) of **₹30** (pending shareholders’ approval)

Total = ₹30 (interims) + ₹66 (special) + ₹30 (final) = **₹126 per share**

This is explicitly stated in the excerpt:  
> ""... board of directors have declared three interim dividends of ₹10 each, a special dividend of ₹66, and recommended a final dividend of ₹30 (pending shareholders' approval at this agm), for a total dividend of ₹126 per share for fy 2025.""",9.65,1,"The actual answer is factually correct, aligns with the expected answer of ₹126 per share, provides a clear breakdown of the dividend components for FY 2025, and quotes supporting evidence from the source."
4,4,Medium,What are TCS's main business segments or industry verticals?,"Banking Financial Services, Manufacturing, Communications Media, Life Sciences Healthcare Energy, etc.",Basic RAG,"Based on the information provided from the TCS Annual Report excerpts, **TCS's main business segments or industry verticals** are as follows:

1. **Banking, Financial Services, and Insurance (BFSI)**
2. **Communication, Media, and Technology (CMT)**
3. **Consumer Business**
4. **Life Sciences and Healthcare**
5. **Manufacturing**
6. **Others**, which includes:
   - Energy
   - Resources and Utilities
   - Public Services (s-governance)
   - Products

These verticals are considered TCS's primary go-to-market business segments as referenced in the report.",3.11,1,"The actual answer accurately lists TCS's main business segments/industry verticals, closely matching the expected answer. It includes BFSI, Communications/Media, Life Sciences/Healthcare, Manufacturing, Energy, and other relevant segments as per the TCS Annual Report. The response is factually correct and answers the question appropriately."
